City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
102,Phan Thiet,VN,2021-01-15 16:06:30,10.9333,108.1,69.93,83,0,7.09
103,Tuktoyaktuk,CA,2021-01-15 16:06:30,69.4541,-133.0374,-13.0,77,90,17.27
104,Ahipara,NZ,2021-01-15 16:06:30,-35.1667,173.1667,60.21,85,2,4.81
105,Mar Del Plata,AR,2021-01-15 16:06:30,-38.0023,-57.5575,77.0,68,75,13.8
106,Souillac,MU,2021-01-15 16:06:30,-20.5167,57.5167,82.4,83,40,10.36
107,New Norfolk,AU,2021-01-15 16:06:31,-42.7826,147.0587,53.01,67,54,1.01
108,Gravina In Puglia,IT,2021-01-15 16:06:31,40.8197,16.4228,42.01,76,97,7.0
109,Pevek,RU,2021-01-15 16:06:31,69.7008,170.3133,-9.87,87,100,1.34
110,Airai,TL,2021-01-15 16:06:31,-8.9266,125.4092,63.07,100,100,0.49
111,Truth Or Consequences,US,2021-01-15 16:04:25,33.1284,-107.2528,46.0,18,1,8.05
112,Margate,GB,2021-01-15 16:06:31,51.3813,1.3862,37.99,75,83,1.01
113,College,US,2021-01-15 16:06:31,64.8569,-147.8028,19.4,67,75,4.61
114,Ati,TD,2021-01-15 16:06:32,13.2154,18.3353,84.88,14,34,3.76
115,Lasa,IT,2021-01-15 16:06:32,46.6166,10.7002,34.0,80,0,8.05
116,Tuatapere,NZ,2021-01-15 16:06:32,-46.1333,167.6833,52.07,91,5,3.18
117,Lerwick,GB,2021-01-15 16:06:32,60.1545,-1.1494,42.8,93,40,13.8
118,Guane,CU,2021-01-15 16:06:32,22.2025,-84.0875,76.33,80,100,4.83
119,Atuona,PF,2021-01-15 16:06:32,-9.8,-139.0333,76.82,77,9,13.94
120,Carnarvon,AU,2021-01-15 16:04:50,-24.8667,113.6333,78.8,94,8,16.11
121,Vostok,RU,2021-01-15 16:06:33,46.4856,135.8833,-1.12,93,100,3.87
122,Ixtapa,MX,2021-01-15 16:06:33,20.7,-105.2,64.4,77,75,4.61
123,Dikson,RU,2021-01-15 16:06:33,73.5069,80.5464,-31.25,81,75,4.56
124,Herat,AF,2021-01-15 16:06:33,34.5,62.0,39.2,33,0,2.3
125,Bignona,SN,2021-01-15 16:06:33,12.8103,-16.2264,95.0,21,0,6.91
126,Bengkulu,ID,2021-01-15 16:06:33,-3.8004,102.2655,77.49,84,100,3.56
127,Soe,ID,2021-01-15 16:06:33,-9.8607,124.284,68.23,98,100,2.21
128,Saint-Pierre,RE,2021-01-15 16:06:33,-21.3393,55.4781,80.6,89,20,14.97
129,Hobart,AU,2021-01-15 16:06:33,-42.8794,147.3294,55.4,67,90,10.36
130,Plouzane,FR,2021-01-15 16:06:33,48.3833,-4.6167,50.0,71,0,3.44
131,Iqaluit,CA,2021-01-15 16:06:34,63.7506,-68.5145,5.0,78,90,16.11
132,Faanui,PF,2021-01-15 16:06:34,-16.4833,-151.75,80.42,76,89,12.86
133,Talnakh,RU,2021-01-15 16:06:34,69.4865,88.3972,-39.28,76,9,6.89
134,Ayagoz,KZ,2021-01-15 16:06:34,47.9714,80.4392,-6.59,79,0,5.14
135,Aitape,PG,2021-01-15 16:06:34,-3.1374,142.3475,79.03,81,100,3.04
136,Mizdah,LY,2021-01-15 16:06:34,31.4451,12.9801,52.09,58,0,13.67
137,Flinders,AU,2021-01-15 16:06:34,-34.5833,150.8552,59.0,85,0,1.99
138,Buchanan,LR,2021-01-15 16:06:34,5.8808,-10.0467,89.6,66,75,8.05
139,Comodoro Rivadavia,AR,2021-01-15 16:03:35,-45.8667,-67.5,60.8,77,90,9.22
140,Pontianak,ID,2021-01-15 16:06:35,-0.0333,109.3333,77.0,94,75,2.75
141,Le Port,RE,2021-01-15 16:06:35,-20.9373,55.2919,80.6,78,75,11.5
142,Port Alfred,ZA,2021-01-15 16:06:35,-33.5906,26.891,68.0,92,100,8.01
143,Sikeston,US,2021-01-15 16:06:35,36.8767,-89.5879,39.2,60,1,14.97
144,Saskylakh,RU,2021-01-15 16:06:35,71.9167,114.0833,-28.5,83,100,9.4
145,Kashi,CN,2021-01-15 16:06:35,39.4547,75.9797,26.6,59,0,4.07
146,Marawi,PH,2021-01-15 16:06:35,7.9986,124.2928,77.0,90,99,3.0
147,Ornskoldsvik,SE,2021-01-15 16:06:35,63.2909,18.7153,23.0,86,40,14.97
148,Matagami,CA,2021-01-15 16:06:35,49.7502,-77.6328,26.6,100,90,6.91
149,Damaturu,NG,2021-01-15 16:06:35,11.747,11.9608,88.11,13,32,4.61
150,Torbay,CA,2021-01-15 16:05:19,47.6666,-52.7314,32.0,93,90,12.66
151,Avera,US,2021-01-15 16:06:36,33.194,-82.5271,48.2,84,90,5.75
152,Ponta Do Sol,PT,2021-01-15 16:06:36,32.6667,-17.1,60.8,55,75,6.91
153,Bure,ET,2021-01-15 16:06:36,10.7,37.0667,68.2,33,85,5.91
154,Alta Floresta,BR,2021-01-15 16:06:36,-9.8756,-56.0861,82.4,83,40,4.61
155,Bathsheba,BB,2021-01-15 16:06:36,13.2167,-59.5167,77.0,88,75,20.71
156,Namatanai,PG,2021-01-15 16:06:37,-3.6667,152.4333,79.38,80,98,3.89
157,Qinzhou,CN,2021-01-15 16:06:37,21.95,108.6167,60.76,68,55,1.97
158,Kruisfontein,ZA,2021-01-15 16:06:37,-34.0033,24.7314,78.01,63,3,8.01
159,Hithadhoo,MV,2021-01-15 16:05:00,-0.6,73.0833,82.42,76,98,15.23
160,Rio Cauto,CU,2021-01-15 16:06:37,20.5603,-76.9161,86.0,48,75,6.91
161,Chokurdakh,RU,2021-01-15 16:06:37,70.6333,147.9167,-4.14,91,100,11.01
162,Kinston,US,2021-01-15 16:03:52,35.2627,-77.5816,53.6,58,1,12.66
163,Cherskiy,RU,2021-01-15 16:06:37,68.75,161.3,-22.72,86,98,2.84
164,Upernavik,GL,2021-01-15 16:06:37,72.7868,-56.1549,14.34,95,94,4.23
165,Ishigaki,JP,2021-01-15 16:06:37,24.3448,124.1572,68.81,73,69,15.97
166,Provideniya,RU,2021-01-15 16:06:37,64.3833,-173.3,12.15,93,100,7.67
167,Diamantina,BR,2021-01-15 16:06:38,-18.2494,-43.6003,73.6,71,42,7.05
168,Jumla,NP,2021-01-15 16:06:38,29.2747,82.1838,44.8,49,97,3.31
169,Sao Felix Do Xingu,BR,2021-01-15 16:06:38,-6.6447,-51.995,86.94,57,73,5.82
170,Kavieng,PG,2021-01-15 16:06:38,-2.5744,150.7967,82.0,80,100,10.71
171,Vila Do Maio,CV,2021-01-15 16:06:38,15.1333,-23.2167,77.0,57,100,25.32
172,Shimoda,JP,2021-01-15 16:06:39,34.6667,138.95,41.0,94,10,1.01
173,Tasiilaq,GL,2021-01-15 16:06:39,65.6145,-37.6368,32.0,93,90,4.61
174,Touros,BR,2021-01-15 16:06:39,-5.1989,-35.4608,86.0,62,40,14.97
175,Troitsko-Pechorsk,RU,2021-01-15 16:06:39,62.7084,56.1964,10.69,96,100,3.71
176,Ribeira Grande,PT,2021-01-15 16:06:39,38.5167,-28.7,60.8,88,75,20.71
177,Tonneins,FR,2021-01-15 16:06:39,44.3921,0.3124,48.2,66,90,10.36
