,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
116,Samarai,PG,-10.6167,150.6667,79.5,88,100,13.4,light rain
117,Asau,RO,46.4333,26.4,23.0,100,75,3.44,broken clouds
118,Praia Da Vitoria,PT,38.7333,-27.0667,62.6,88,75,23.44,broken clouds
119,Avarua,CK,-21.2078,-159.775,86.0,70,20,14.97,few clouds
120,Iwanai,JP,42.9744,140.5089,22.08,88,99,7.78,light snow
121,Brigantine,US,39.4101,-74.3646,48.2,61,1,6.91,clear sky
122,Kangaatsiaq,GL,68.3065,-53.4641,15.31,96,100,3.33,overcast clouds
123,Arraial Do Cabo,BR,-22.9661,-42.0278,80.6,73,0,18.41,clear sky
124,Castro,BR,-24.7911,-50.0119,67.57,86,55,10.18,broken clouds
125,Lamont,US,35.2597,-118.9143,64.99,36,1,3.31,haze
126,Totskoye,RU,52.5248,52.7623,16.16,93,100,17.16,snow
127,Havelock,US,34.8791,-76.9013,51.01,77,0,1.99,clear sky
128,Huanren,CN,41.2647,125.3667,18.45,92,100,2.55,light snow
129,Juneau,US,58.3019,-134.4197,35.6,80,90,10.36,snow
130,Iqaluit,CA,63.7506,-68.5145,-9.0,77,40,5.75,scattered clouds
131,Camacha,PT,33.0833,-16.3333,55.4,67,40,9.22,scattered clouds
132,Ribeira Grande,PT,38.5167,-28.7,62.6,94,75,16.11,broken clouds
133,Bambous Virieux,MU,-20.3428,57.7575,77.0,88,40,8.93,scattered clouds
134,Bengkulu,ID,-3.8004,102.2655,75.22,83,70,5.12,broken clouds
135,Pastos Bons,BR,-6.6017,-44.0767,75.25,90,93,3.04,light rain
136,Mangaratiba,BR,-22.9597,-44.0406,87.8,55,20,9.22,few clouds
137,Yellowknife,CA,62.456,-114.3525,8.6,85,75,4.61,broken clouds
138,Geraldton,AU,-28.7667,114.6,82.4,34,0,13.8,clear sky
139,Erenhot,CN,43.6475,111.9767,-8.28,87,33,9.35,scattered clouds
140,Norman Wells,CA,65.282,-126.8329,1.4,85,75,2.3,broken clouds
141,Nome,US,64.5011,-165.4064,15.8,86,90,5.28,overcast clouds
142,Fortuna,US,40.5982,-124.1573,64.99,63,1,3.44,clear sky
143,Yairipok,IN,24.6667,94.0667,46.81,84,5,1.21,clear sky
144,Chumikan,RU,54.7183,135.315,-17.54,81,0,20.18,clear sky
145,Hilo,US,19.7297,-155.09,82.4,54,40,8.05,scattered clouds
146,Machacamarca,BO,-18.1667,-67.0333,58.01,55,99,9.86,moderate rain
147,Kaitangata,NZ,-46.2817,169.8464,63.0,82,97,5.99,overcast clouds
148,Port Moresby,PG,-9.4431,147.1797,78.8,94,75,6.91,broken clouds
149,Mvuma,ZW,-19.2792,30.5283,65.3,93,99,5.35,light rain
150,Cayenne,GF,4.9333,-52.3333,78.8,89,75,4.61,broken clouds
151,Port Elizabeth,ZA,-33.918,25.5701,69.8,100,90,13.8,mist
152,Uruzgan,AF,32.8333,66.0,37.47,59,15,5.75,few clouds
153,Abu Dhabi,AE,24.4667,54.3667,62.6,82,0,1.14,clear sky
154,Sidi Ali,DZ,36.0998,0.4206,50.77,84,85,10.25,overcast clouds
155,Okhotsk,RU,59.3833,143.3,-14.84,80,85,8.43,overcast clouds
156,Westport,US,41.1415,-73.3579,42.01,24,90,2.62,overcast clouds
157,Esso,RU,55.9333,158.7,-1.97,85,100,1.74,overcast clouds
158,Luderitz,NA,-26.6481,15.1594,65.41,83,24,6.93,few clouds
159,Kavaratti,IN,10.5669,72.642,82.29,72,94,6.64,overcast clouds
160,Chapais,CA,49.7834,-74.8492,26.6,86,90,3.44,overcast clouds
161,Saint-Georges,GD,12.0564,-61.7485,80.6,78,20,17.27,few clouds
162,Pundaguitan,PH,6.3711,126.1689,82.2,73,48,3.15,light rain
163,Pimentel,PE,-6.8367,-79.9342,80.6,54,0,24.16,clear sky
164,San Luis,AR,-33.295,-66.3356,84.11,43,23,15.95,few clouds
165,Olinda,BR,-8.0089,-34.8553,80.6,65,75,9.22,broken clouds
166,Punta Arenas,CL,-53.15,-70.9167,55.4,71,20,12.66,few clouds
167,Eureka,US,40.8021,-124.1637,64.99,78,3,5.01,clear sky
168,Touros,BR,-5.1989,-35.4608,80.6,74,20,14.97,few clouds
169,Bannu,PK,32.9854,70.6027,47.5,43,0,1.21,clear sky
170,Hofn,IS,64.2539,-15.2082,37.96,75,1,6.31,clear sky
171,Namatanai,PG,-3.6667,152.4333,83.57,68,100,3.58,overcast clouds
172,Nyrob,RU,60.733,56.7202,9.07,95,100,6.85,light snow
173,Olafsvik,IS,64.8945,-23.7142,40.46,76,90,22.53,overcast clouds
174,Solnechnyy,RU,50.7214,136.6319,-11.02,86,19,3.31,few clouds
175,Vao,NC,-22.6667,167.4833,77.0,92,100,15.14,overcast clouds
176,Luorong,CN,24.4058,109.6086,51.46,40,34,1.59,scattered clouds
177,Vila Franca Do Campo,PT,37.7167,-25.4333,62.01,94,75,12.66,broken clouds
178,Metro,ID,-5.1131,105.3067,73.42,94,100,4.56,overcast clouds
179,Tura,IN,25.5198,90.2201,54.95,71,1,3.02,clear sky
180,Dongsheng,CN,39.8161,109.9776,13.03,84,65,15.12,broken clouds
181,Camopi,GF,3.1655,-52.3158,73.36,98,100,2.98,overcast clouds
182,Kagoro,NG,9.6,8.3833,68.22,23,28,6.06,scattered clouds
183,Usoke,TZ,-5.1667,32.35,64.89,88,99,2.75,overcast clouds
184,Manta,EC,-0.95,-80.7333,87.8,62,20,16.11,few clouds
185,Saint Pete Beach,US,27.7253,-82.7412,62.01,82,1,12.66,clear sky
186,Santa Maria,BR,-29.6842,-53.8069,82.4,51,0,19.57,clear sky
187,San Policarpo,PH,12.1791,125.5072,78.58,82,70,7.54,broken clouds
188,Te Anau,NZ,-45.4167,167.7167,68.38,55,37,2.28,scattered clouds
189,Qaqortoq,GL,60.7167,-46.0333,24.8,80,90,4.61,overcast clouds
190,Haimen,CN,23.1935,116.6142,46.4,93,0,6.38,mist
191,Sile,TR,41.1754,29.6133,39.0,81,40,5.75,scattered clouds
192,Yulara,AU,-25.2406,130.9889,80.6,32,14,9.22,few clouds
193,Dingle,PH,10.9995,122.6711,74.44,93,30,5.1,scattered clouds
194,Noumea,NC,-22.2763,166.4572,81.0,89,0,4.61,clear sky
195,Griffith,US,41.5284,-87.4237,41.0,81,90,10.36,light rain
196,Warman,CA,52.3168,-106.5679,30.0,80,75,29.93,snow
197,Mandalgovi,MN,45.7625,106.2708,-9.83,82,21,10.29,few clouds
198,Prado,BR,-17.3411,-39.2208,77.92,82,0,8.68,clear sky
199,Letnik,RU,46.011,41.2657,34.54,87,100,6.62,light snow
200,Sao Joao Da Barra,BR,-21.6403,-41.0511,80.6,69,0,18.41,clear sky
201,Severo-Kurilsk,RU,50.6789,156.125,24.96,93,100,17.85,light snow
202,Broken Hill,AU,-31.95,141.4333,57.2,54,6,20.71,clear sky
203,Hithadhoo,MV,-0.6,73.0833,81.45,79,100,18.03,overcast clouds
204,Pilar,BR,-9.5972,-35.9567,78.8,78,0,14.97,clear sky
205,Mbandaka,CD,0.0487,18.2603,73.27,86,98,5.73,overcast clouds
206,Bouna,CI,9.2667,-3.0,75.65,17,91,2.57,overcast clouds
207,Iwata,JP,34.7,137.85,41.0,75,60,1.99,broken clouds
208,Egvekinot,RU,66.3167,-179.1667,-7.53,91,100,7.74,overcast clouds
209,Camana,PE,-16.6228,-72.7111,72.07,71,94,6.29,overcast clouds
210,Pisco,PE,-13.7,-76.2167,77.0,65,0,23.02,clear sky
211,Wajid,SO,3.8093,43.2471,74.88,48,0,13.65,clear sky
212,Hasaki,JP,35.7333,140.8333,41.0,70,75,6.91,broken clouds
213,Ballina,AU,-28.8667,153.5667,75.2,78,0,2.3,clear sky
214,Chestermere,CA,51.0334,-113.8187,30.99,43,20,8.05,few clouds
215,Saint George,US,37.1041,-113.5841,61.0,29,1,2.04,clear sky
216,Ugra,RU,54.7777,34.3267,-5.03,91,82,3.47,broken clouds
217,Prieska,ZA,-29.6641,22.7474,76.59,61,35,6.13,moderate rain
218,Tupik,RU,54.4253,119.9327,-28.12,79,0,1.86,clear sky
219,Izhma,RU,65.0083,53.9113,-10.7,88,100,3.67,overcast clouds
220,Richards Bay,ZA,-28.783,32.0377,74.52,86,83,7.11,broken clouds
221,Kihei,US,20.785,-156.4656,82.4,57,40,18.41,scattered clouds
222,Tessalit,ML,20.1986,1.0114,65.05,24,0,13.65,clear sky
223,Warrington,GB,53.3925,-2.5802,36.0,100,75,6.91,broken clouds
224,Gamba,GA,-2.65,10.0,74.61,90,44,3.2,scattered clouds
225,Vestmanna,FO,62.1564,-7.1664,35.6,100,96,3.85,overcast clouds
226,Iracoubo,GF,5.4802,-53.2011,76.86,88,100,13.0,overcast clouds
227,Sivas,TR,39.7916,37.0019,24.8,100,90,6.91,overcast clouds
228,Marawi,PH,7.9986,124.2928,75.0,96,86,4.0,overcast clouds
229,Tual,ID,-5.6667,132.75,84.04,76,100,10.2,moderate rain
230,Klaksvik,FO,62.2266,-6.589,35.6,100,100,9.53,light rain
231,Tiksi,RU,71.6872,128.8694,-32.33,84,99,2.57,overcast clouds
232,Pevek,RU,69.7008,170.3133,-17.72,89,95,4.41,overcast clouds
233,Paamiut,GL,61.994,-49.6678,22.44,90,85,9.57,overcast clouds
234,Ushumun,RU,52.7833,126.5333,-25.13,86,0,3.74,clear sky
235,Bathsheba,BB,13.2167,-59.5167,80.6,74,20,20.71,few clouds
236,Salinopolis,BR,-0.6136,-47.3561,80.28,80,41,13.04,scattered clouds
237,Ancud,CL,-41.8697,-73.8203,59.0,67,75,12.66,light rain
238,Sambava,MG,-14.2667,50.1667,78.4,84,32,1.92,scattered clouds
239,Chilca,PE,-12.5211,-76.7372,71.6,73,0,11.5,moderate rain
240,Camocim,BR,-2.9022,-40.8411,80.58,75,75,14.7,broken clouds
241,Tecoanapa,MX,16.5167,-98.75,82.51,69,100,11.39,overcast clouds
242,Tautira,PF,-17.7333,-149.15,87.8,62,40,3.44,scattered clouds
243,Pathein,MM,16.7833,94.7333,63.66,78,0,2.57,clear sky
244,Mahebourg,MU,-20.4081,57.7,77.0,88,40,8.48,scattered clouds
245,Loubomo,CG,-4.1997,12.6739,70.2,94,58,2.48,broken clouds
246,Portland,US,45.5234,-122.6762,55.99,50,40,6.91,scattered clouds
247,Sitka,US,57.0531,-135.33,41.0,75,90,28.77,light rain
248,Pringsewu,ID,-5.3582,104.9744,73.09,93,96,1.52,overcast clouds
249,Esperance,AU,-33.8667,121.9,59.0,77,90,6.91,overcast clouds
250,Naze,JP,28.3667,129.4833,64.4,68,75,13.8,broken clouds
251,Orlik,RU,52.5178,99.825,-23.93,74,61,3.51,broken clouds
252,Lock Haven,US,41.137,-77.4469,41.0,71,99,1.74,overcast clouds
253,Sulangan,PH,11.1373,123.7228,79.83,79,99,7.96,overcast clouds
254,Souillac,MU,-20.5167,57.5167,77.0,88,40,6.87,scattered clouds
255,Saldanha,ZA,-33.0117,17.9442,64.4,88,19,13.8,few clouds
256,Hamilton,US,39.1834,-84.5333,48.0,76,100,3.0,overcast clouds
257,Bredasdorp,ZA,-34.5322,20.0403,68.0,94,81,3.44,broken clouds
258,Coolum Beach,AU,-26.5333,153.1,79.0,82,6,1.72,clear sky
259,Mount Isa,AU,-20.7333,139.5,84.2,37,40,10.67,scattered clouds
260,Srednekolymsk,RU,67.45,153.6833,-19.05,87,100,13.91,overcast clouds
261,Vostok,RU,46.4856,135.8833,-11.15,89,30,4.05,scattered clouds
262,Yenagoa,NG,4.9247,6.2642,76.55,86,0,7.14,clear sky
263,Khanu Woralaksaburi,TH,16.0617,99.8606,66.99,68,0,1.48,clear sky
264,Salalah,OM,17.0151,54.0924,77.0,13,0,13.8,clear sky
265,Zaqatala,AZ,41.6336,46.6433,46.4,87,75,9.22,light rain
266,Komsomolskiy,UZ,40.4272,71.7189,30.2,74,0,4.61,mist
267,Berbera,SO,10.4396,45.0143,73.53,74,46,6.22,scattered clouds
268,Saint-Paul,RE,-21.0096,55.2707,75.2,88,90,11.5,light rain
269,Marsh Harbour,BS,26.5412,-77.0636,71.24,79,99,11.1,overcast clouds
270,Nicoya,CR,10.1483,-85.452,89.6,51,20,12.66,few clouds
271,Rocha,UY,-34.4833,-54.3333,70.12,51,0,13.67,clear sky
272,Alyangula,AU,-13.8483,136.4192,77.0,100,91,6.15,overcast clouds
273,Kahului,US,20.8947,-156.47,82.4,57,40,18.41,scattered clouds
274,Lorengau,PG,-2.0226,147.2712,84.38,68,100,9.04,overcast clouds
275,Hambantota,LK,6.1241,81.1185,75.2,100,90,5.91,moderate rain
276,Ahuimanu,US,21.4447,-157.8378,80.6,73,75,10.36,broken clouds
277,Isangel,VU,-19.55,169.2667,77.0,100,90,8.08,moderate rain
278,Conde,BR,-7.2597,-34.9075,80.6,78,20,8.05,few clouds
279,Tevaitoa,PF,-16.7833,-151.5,81.54,74,10,16.17,clear sky
280,San Ramon,US,37.7799,-121.978,70.0,48,1,16.11,clear sky
281,Makakilo City,US,21.3469,-158.0858,80.6,61,1,8.05,clear sky
282,Pozo Colorado,PY,-23.4923,-58.7972,91.38,54,98,6.26,light rain
283,Hunucma,MX,21.0167,-89.8667,77.0,65,75,5.75,broken clouds
284,Comodoro Rivadavia,AR,-45.8667,-67.5,82.4,23,0,12.66,clear sky
285,Ponca City,US,36.707,-97.0856,53.6,24,1,18.41,clear sky
286,Chihuahua,MX,28.5,-106.0,68.0,14,20,10.36,few clouds
287,Gornopravdinsk,RU,60.05,69.9,-12.62,87,98,6.33,overcast clouds
288,Christchurch,NZ,-43.5333,172.6333,64.99,82,90,5.75,overcast clouds
289,North Bend,US,43.4065,-124.2243,69.01,63,1,3.44,clear sky
290,Sola,VU,-13.8833,167.55,86.0,84,40,9.24,scattered clouds
291,Okha,RU,53.5739,142.9478,-13.45,88,81,14.5,broken clouds
292,Lagdo,CM,9.05,13.7333,73.11,20,2,2.91,clear sky
293,Ferkessedougou,CI,9.6,-5.2,75.15,18,1,2.77,clear sky
294,Rockland,US,41.1668,-74.0496,46.0,75,98,2.42,overcast clouds
295,Duluth,US,46.7833,-92.1066,34.0,86,75,17.27,snow
296,Tashigang,BT,27.3331,91.5542,49.55,64,33,3.18,scattered clouds
297,Grand-Santi,GF,4.25,-54.3833,73.98,96,90,3.24,overcast clouds
298,Araouane,ML,18.9048,-3.5265,68.92,22,0,13.38,clear sky
299,Tevriz,RU,57.509,72.4042,-17.14,86,15,4.38,few clouds
300,Quatre Cocos,MU,-20.2078,57.7625,77.0,88,40,9.86,scattered clouds
301,Lima,PE,-12.0432,-77.0282,71.6,73,0,11.5,light rain
302,Cabo San Lucas,MX,22.8909,-109.9124,75.2,33,1,5.75,clear sky
303,Bandarban,BD,22.1965,92.2262,54.68,77,100,2.15,overcast clouds
304,Mbigou,GA,-1.9005,11.906,66.58,91,95,0.16,overcast clouds
305,Aswan,EG,24.0934,32.907,55.24,47,33,10.04,scattered clouds
306,Todos Santos,MX,23.45,-110.2167,75.99,38,0,5.01,clear sky
307,Villa Rica,US,33.7321,-84.9191,55.0,58,2,5.99,clear sky
308,Crestview,US,30.7621,-86.5705,62.6,36,1,10.36,clear sky
309,Luziania,BR,-16.2525,-47.9503,75.2,69,40,8.05,light rain
310,Kloulklubed,PW,7.0419,134.2556,78.8,94,75,5.75,broken clouds
311,Mae Ramat,TH,16.984,98.5166,59.86,78,0,1.63,clear sky
312,Guerrero Negro,MX,27.9769,-114.0611,77.04,16,0,7.4,clear sky
313,Kandrian,PG,-6.2167,149.55,81.86,80,95,9.44,overcast clouds
314,Svetlyy,RU,54.675,20.1347,23.0,86,0,4.47,clear sky
315,Barranca,PE,-10.75,-77.7667,72.21,78,87,7.99,overcast clouds
316,Kropotkin,RU,45.4375,40.5756,33.58,94,100,10.54,light snow
317,Half Moon Bay,US,37.4636,-122.4286,68.0,49,1,8.05,clear sky
318,Tomohon,ID,1.3346,124.8392,77.0,94,40,3.44,scattered clouds
319,Lucea,JM,18.451,-78.1736,81.0,78,75,14.97,broken clouds
320,Inverell,AU,-29.7833,151.1167,75.0,71,6,1.01,clear sky
321,Berlevag,NO,70.8578,29.0864,32.0,80,75,12.66,light snow
322,Pierre,US,44.3683,-100.351,42.8,26,40,44.87,scattered clouds
323,Gao,ML,16.6362,1.637,73.53,18,0,10.09,clear sky
324,Tsuruga,JP,35.6455,136.0558,39.74,71,0,3.18,clear sky
325,Kastamonu,TR,41.5,33.6667,26.62,95,85,7.67,overcast clouds
326,Kultayevo,RU,57.8943,55.9392,8.6,72,75,13.42,snow
327,Aklavik,CA,68.2191,-135.0107,-5.8,77,81,1.14,broken clouds
328,Bambanglipuro,ID,-7.95,110.2833,75.78,77,100,2.66,heavy intensity rain
329,Chirilagua,SV,13.2203,-88.1386,93.2,38,0,8.05,clear sky
330,Conceicao Da Barra,BR,-18.5933,-39.7322,77.68,79,0,8.7,clear sky
331,Labuhan,ID,-6.8844,112.2051,76.77,85,100,10.38,overcast clouds
332,Svetlogorsk,BY,52.6333,29.7333,8.69,94,99,8.63,overcast clouds
333,Changji,CN,44.0167,87.3167,6.8,92,75,0.65,light snow
334,Pangnirtung,CA,66.1451,-65.7125,-14.8,76,20,2.24,few clouds
335,Coihaique,CL,-45.5752,-72.0662,71.6,33,0,9.22,clear sky
336,Tuy Hoa,VN,13.0833,109.3,64.38,86,83,6.26,broken clouds
337,Tandalti,SD,13.0167,31.8667,72.55,21,0,13.53,clear sky
338,Halifax,CA,44.6453,-63.5724,37.99,100,90,3.44,light intensity drizzle
339,Necochea,AR,-38.5473,-58.7368,78.01,47,23,19.01,few clouds
340,Abramovka,RU,51.1886,41.0202,10.45,95,65,4.85,broken clouds
341,Karaj,IR,35.8355,51.0103,42.8,52,75,6.91,haze
342,Ransang,PH,8.9603,117.5828,78.15,82,100,4.29,moderate rain
343,Fairbanks,US,64.8378,-147.7164,-9.4,77,40,2.3,scattered clouds
344,Biltine,TD,14.5333,20.9167,68.4,23,1,12.08,clear sky
345,Kawalu,ID,-7.3817,108.2082,71.8,86,100,2.1,overcast clouds
346,Mwinilunga,ZM,-11.7358,24.4293,63.64,97,100,7.05,moderate rain
347,Bubaque,GW,11.2833,-15.8333,78.21,65,20,13.82,few clouds
348,Morbach,DE,49.8167,7.1167,34.0,86,20,8.05,few clouds
349,Blagodatnoye,RU,45.3997,42.5867,30.2,100,90,8.95,fog
