,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
116,Samarai,PG,79.5,light rain,-10.6167,150.6667,Nuli Sapi
123,Arraial Do Cabo,BR,80.6,clear sky,-22.9661,-42.0278,Pousada Porto Praia
133,Bambous Virieux,MU,77.0,scattered clouds,-20.3428,57.7575,Casa Tia Villa
134,Bengkulu,ID,75.22,broken clouds,-3.8004,102.2655,Grage Hotel Bengkulu
135,Pastos Bons,BR,75.25,light rain,-6.6017,-44.0767,Área de lazer casa (Pucina)
138,Geraldton,AU,82.4,clear sky,-28.7667,114.6,Broadwater Mariner Resort
145,Hilo,US,82.4,scattered clouds,19.7297,-155.09,Hilo Hawaiian Hotel
148,Port Moresby,PG,78.8,broken clouds,-9.4431,147.1797,Lamana Hotel
150,Cayenne,GF,78.8,broken clouds,4.9333,-52.3333,Hôtel Le Dronmi
159,Kavaratti,IN,82.29,overcast clouds,10.5669,72.642,Hotels in Lakshadweep Islands
161,Saint-Georges,GD,80.6,few clouds,12.0564,-61.7485,Siesta Hotel
162,Pundaguitan,PH,82.2,light rain,6.3711,126.1689,Leonardo Family Beach House 1
163,Pimentel,PE,80.6,clear sky,-6.8367,-79.9342,Casona Del Muelle
164,San Luis,AR,84.11,few clouds,-33.295,-66.3356,Huarpes Hotel
165,Olinda,BR,80.6,broken clouds,-8.0089,-34.8553,Flat Quatro Rodas Olinda
168,Touros,BR,80.6,few clouds,-5.1989,-35.4608,INN NEW HORIZON
171,Namatanai,PG,83.57,overcast clouds,-3.6667,152.4333,Namatanai Hotel
175,Vao,NC,77.0,overcast clouds,-22.6667,167.4833,Hotel Kou-Bugny
186,Santa Maria,BR,82.4,clear sky,-29.6842,-53.8069,Hotel Morotin
187,San Policarpo,PH,78.58,broken clouds,12.1791,125.5072,JM Lodge
192,Yulara,AU,80.6,few clouds,-25.2406,130.9889,Desert Gardens Hotel - Ayers Rock Resort
194,Noumea,NC,81.0,clear sky,-22.2763,166.4572,Hôtel Le Lagon
198,Prado,BR,77.92,clear sky,-17.3411,-39.2208,INN CORNER RIVER - PRADO - BAHIA - HOUSING AND HOTEL
200,Sao Joao Da Barra,BR,80.6,clear sky,-21.6403,-41.0511,Pousada Porto De Canoas
203,Hithadhoo,MV,81.45,overcast clouds,-0.6,73.0833,Scoop Guest House
204,Pilar,BR,78.8,clear sky,-9.5972,-35.9567,Pousada e churrascaria Manguaba
206,Bouna,CI,75.65,overcast clouds,9.2667,-3.0,Hotel Reserve
210,Pisco,PE,77.0,clear sky,-13.7,-76.2167,Hotel San Isidro Oficial
213,Ballina,AU,75.2,clear sky,-28.8667,153.5667,Ramada Hotel & Suites by Wyndham Ballina Byron
